ID,Trips_Per_Day,Distance_Travelled_PassengerKm_Per_Day,Time_Travelled_Minutes_Per_Day,Trips_Per_Year,Distance_Travelled_PassengerKm_Per_Year,Time_Travelled_Hours_Per_Year,TravelMotives,Population,TravelModes,Margins,RegionCharacteristics,Period
49917,0.08,0.26,3.14,28.0,96.0,19.1,"Leisure, sports",Population: 12 years or older,Walking,Value,West-Nederland (LD),2021
49918,0.09,0.25,2.95,31.0,91.0,17.9,"Leisure, sports",Population: 12 years or older,Walking,Value,West-Nederland (LD),2022
49919,0.08,0.22,2.75,31.0,81.0,16.7,"Leisure, sports",Population: 12 years or older,Walking,Value,West-Nederland (LD),2023
49920,0.07,0.19,2.29,27.0,71.0,13.9,"Leisure, sports",Population: 12 years or older,Walking,Value,Zuid-Nederland (LD),2018
49921,0.07,0.16,1.79,24.0,59.0,10.9,"Leisure, sports",Population: 12 years or older,Walking,Value,Zuid-Nederland (LD),2019
49922,0.06,0.21,2.35,24.0,77.0,14.3,"Leisure, sports",Population: 12 years or older,Walking,Value,Zuid-Nederland (LD),2020
49923,0.06,0.23,2.65,22.0,84.0,16.1,"Leisure, sports",Population: 12 years or older,Walking,Value,Zuid-Nederland (LD),2021
49924,0.08,0.2,2.29,28.0,72.0,13.9,"Leisure, sports",Population: 12 years or older,Walking,Value,Zuid-Nederland (LD),2022
49925,0.08,0.2,2.34,28.0,72.0,14.2,"Leisure, sports",Population: 12 years or older,Walking,Value,Zuid-Nederland (LD),2023
49926,0.05,0.17,1.65,19.0,64.0,10.1,"Leisure, sports",Population: 12 years or older,Walking,Value,Groningen (PV),2018
49927,0.07,0.16,1.87,24.0,60.0,11.4,"Leisure, sports",Population: 12 years or older,Walking,Value,Groningen (PV),2019
49928,0.06,0.23,2.95,22.0,85.0,18.0,"Leisure, sports",Population: 12 years or older,Walking,Value,Groningen (PV),2020
49929,0.07,0.21,2.39,25.0,77.0,14.5,"Leisure, sports",Population: 12 years or older,Walking,Value,Groningen (PV),2021
49930,0.07,0.26,2.56,27.0,96.0,15.6,"Leisure, sports",Population: 12 years or older,Walking,Value,Groningen (PV),2022
49931,0.08,0.2,2.02,30.0,73.0,12.3,"Leisure, sports",Population: 12 years or older,Walking,Value,Groningen (PV),2023
49932,0.05,0.12,1.24,19.0,43.0,7.6,"Leisure, sports",Population: 12 years or older,Walking,Value,Fryslân (PV),2018
49934,0.05,0.23,2.3,19.0,84.0,14.0,"Leisure, sports",Population: 12 years or older,Walking,Value,Fryslân (PV),2020
49936,0.07,0.18,1.94,24.0,65.0,11.8,"Leisure, sports",Population: 12 years or older,Walking,Value,Fryslân (PV),2022
49937,0.07,0.22,2.61,27.0,82.0,15.9,"Leisure, sports",Population: 12 years or older,Walking,Value,Fryslân (PV),2023
49944,0.06,0.16,1.91,21.0,60.0,11.6,"Leisure, sports",Population: 12 years or older,Walking,Value,Overijssel (PV),2018
49945,0.06,0.17,1.78,23.0,63.0,10.8,"Leisure, sports",Population: 12 years or older,Walking,Value,Overijssel (PV),2019
49946,0.05,0.2,1.83,18.0,75.0,11.2,"Leisure, sports",Population: 12 years or older,Walking,Value,Overijssel (PV),2020
49947,0.05,0.2,2.18,20.0,73.0,13.3,"Leisure, sports",Population: 12 years or older,Walking,Value,Overijssel (PV),2021
49948,0.08,0.21,2.32,30.0,75.0,14.1,"Leisure, sports",Population: 12 years or older,Walking,Value,Overijssel (PV),2022
49949,0.06,0.17,1.84,23.0,62.0,11.2,"Leisure, sports",Population: 12 years or older,Walking,Value,Overijssel (PV),2023
49950,0.05,0.12,1.15,18.0,43.0,7.0,"Leisure, sports",Population: 12 years or older,Walking,Value,Flevoland (PV),2018
49952,0.05,0.15,1.97,19.0,56.0,12.0,"Leisure, sports",Population: 12 years or older,Walking,Value,Flevoland (PV),2020
49953,0.06,0.26,3.19,20.0,94.0,19.4,"Leisure, sports",Population: 12 years or older,Walking,Value,Flevoland (PV),2021
49954,0.06,0.15,1.97,22.0,56.0,12.0,"Leisure, sports",Population: 12 years or older,Walking,Value,Flevoland (PV),2022
49955,0.06,0.17,2.32,21.0,61.0,14.1,"Leisure, sports",Population: 12 years or older,Walking,Value,Flevoland (PV),2023
49956,0.06,0.17,1.88,22.0,63.0,11.4,"Leisure, sports",Population: 12 years or older,Walking,Value,Gelderland (PV),2018
49957,0.07,0.21,2.27,25.0,76.0,13.8,"Leisure, sports",Population: 12 years or older,Walking,Value,Gelderland (PV),2019
49958,0.06,0.2,2.0,21.0,75.0,12.2,"Leisure, sports",Population: 12 years or older,Walking,Value,Gelderland (PV),2020
49959,0.06,0.24,2.46,21.0,87.0,15.0,"Leisure, sports",Population: 12 years or older,Walking,Value,Gelderland (PV),2021
49960,0.07,0.21,2.53,26.0,78.0,15.4,"Leisure, sports",Population: 12 years or older,Walking,Value,Gelderland (PV),2022
49961,0.07,0.2,2.09,27.0,71.0,12.7,"Leisure, sports",Population: 12 years or older,Walking,Value,Gelderland (PV),2023
49962,0.09,0.23,2.57,32.0,83.0,15.6,"Leisure, sports",Population: 12 years or older,Walking,Value,Utrecht (PV),2018
49963,0.07,0.17,1.8,27.0,62.0,10.9,"Leisure, sports",Population: 12 years or older,Walking,Value,Utrecht (PV),2019
49964,0.08,0.25,2.79,28.0,93.0,17.0,"Leisure, sports",Population: 12 years or older,Walking,Value,Utrecht (PV),2020
49965,0.08,0.27,3.05,29.0,100.0,18.5,"Leisure, sports",Population: 12 years or older,Walking,Value,Utrecht (PV),2021
49966,0.09,0.24,2.7,33.0,87.0,16.4,"Leisure, sports",Population: 12 years or older,Walking,Value,Utrecht (PV),2022
49967,0.08,0.21,2.46,30.0,77.0,14.9,"Leisure, sports",Population: 12 years or older,Walking,Value,Utrecht (PV),2023
49968,0.08,0.22,2.34,30.0,80.0,14.2,"Leisure, sports",Population: 12 years or older,Walking,Value,Noord-Holland (PV),2018
49969,0.08,0.24,2.72,28.0,86.0,16.6,"Leisure, sports",Population: 12 years or older,Walking,Value,Noord-Holland (PV),2019
49970,0.07,0.24,2.82,26.0,87.0,17.2,"Leisure, sports",Population: 12 years or older,Walking,Value,Noord-Holland (PV),2020
49971,0.08,0.28,3.29,28.0,101.0,20.0,"Leisure, sports",Population: 12 years or older,Walking,Value,Noord-Holland (PV),2021
49972,0.09,0.28,3.33,34.0,102.0,20.3,"Leisure, sports",Population: 12 years or older,Walking,Value,Noord-Holland (PV),2022
49973,0.08,0.23,3.03,31.0,85.0,18.4,"Leisure, sports",Population: 12 years or older,Walking,Value,Noord-Holland (PV),2023
49974,0.08,0.21,2.29,28.0,78.0,13.9,"Leisure, sports",Population: 12 years or older,Walking,Value,Zuid-Holland (PV),2018
49975,0.07,0.2,2.29,27.0,73.0,13.9,"Leisure, sports",Population: 12 years or older,Walking,Value,Zuid-Holland (PV),2019
49976,0.07,0.24,2.76,25.0,87.0,16.8,"Leisure, sports",Population: 12 years or older,Walking,Value,Zuid-Holland (PV),2020
49977,0.07,0.25,3.16,26.0,92.0,19.2,"Leisure, sports",Population: 12 years or older,Walking,Value,Zuid-Holland (PV),2021
49978,0.08,0.23,2.79,30.0,86.0,17.0,"Leisure, sports",Population: 12 years or older,Walking,Value,Zuid-Holland (PV),2022
49979,0.09,0.22,2.75,32.0,82.0,16.7,"Leisure, sports",Population: 12 years or older,Walking,Value,Zuid-Holland (PV),2023
49983,0.08,0.2,2.25,29.0,72.0,13.7,"Leisure, sports",Population: 12 years or older,Walking,Value,Zeeland (PV),2021
49985,0.07,0.16,1.6,26.0,58.0,9.7,"Leisure, sports",Population: 12 years or older,Walking,Value,Zeeland (PV),2023
49986,0.07,0.18,2.17,25.0,66.0,13.2,"Leisure, sports",Population: 12 years or older,Walking,Value,Noord-Brabant (PV),2018
49987,0.07,0.16,1.7,24.0,59.0,10.3,"Leisure, sports",Population: 12 years or older,Walking,Value,Noord-Brabant (PV),2019
49988,0.07,0.22,2.47,25.0,81.0,15.1,"Leisure, sports",Population: 12 years or older,Walking,Value,Noord-Brabant (PV),2020
49989,0.06,0.22,2.53,22.0,82.0,15.4,"Leisure, sports",Population: 12 years or older,Walking,Value,Noord-Brabant (PV),2021
49990,0.08,0.19,2.23,28.0,68.0,13.5,"Leisure, sports",Population: 12 years or older,Walking,Value,Noord-Brabant (PV),2022
49991,0.07,0.2,2.21,26.0,72.0,13.4,"Leisure, sports",Population: 12 years or older,Walking,Value,Noord-Brabant (PV),2023
49992,0.08,0.23,2.56,31.0,83.0,15.6,"Leisure, sports",Population: 12 years or older,Walking,Value,Limburg (PV),2018
49993,0.06,0.17,1.98,23.0,62.0,12.1,"Leisure, sports",Population: 12 years or older,Walking,Value,Limburg (PV),2019
49994,0.06,0.19,2.07,22.0,69.0,12.6,"Leisure, sports",Population: 12 years or older,Walking,Value,Limburg (PV),2020
49995,0.06,0.24,2.94,22.0,88.0,17.9,"Leisure, sports",Population: 12 years or older,Walking,Value,Limburg (PV),2021
49996,0.08,0.22,2.44,28.0,81.0,14.9,"Leisure, sports",Population: 12 years or older,Walking,Value,Limburg (PV),2022
49997,0.08,0.19,2.64,31.0,71.0,16.1,"Leisure, sports",Population: 12 years or older,Walking,Value,Limburg (PV),2023
49998,0.09,0.25,2.71,34.0,91.0,16.5,"Leisure, sports",Population: 12 years or older,Walking,Value,Extremely urbanised,2018
49999,0.1,0.26,3.07,35.0,94.0,18.7,"Leisure, sports",Population: 12 years or older,Walking,Value,Extremely urbanised,2019
50000,0.08,0.27,3.36,30.0,98.0,20.5,"Leisure, sports",Population: 12 years or older,Walking,Value,Extremely urbanised,2020
50001,0.09,0.32,3.93,34.0,115.0,23.9,"Leisure, sports",Population: 12 years or older,Walking,Value,Extremely urbanised,2021
50002,0.1,0.28,3.49,38.0,103.0,21.2,"Leisure, sports",Population: 12 years or older,Walking,Value,Extremely urbanised,2022
50003,0.11,0.28,3.59,38.0,101.0,21.8,"Leisure, sports",Population: 12 years or older,Walking,Value,Extremely urbanised,2023
50004,0.07,0.2,2.3,26.0,72.0,14.0,"Leisure, sports",Population: 12 years or older,Walking,Value,Strongly urbanised,2018
50005,0.06,0.19,1.99,22.0,68.0,12.1,"Leisure, sports",Population: 12 years or older,Walking,Value,Strongly urbanised,2019
50006,0.07,0.22,2.49,24.0,82.0,15.2,"Leisure, sports",Population: 12 years or older,Walking,Value,Strongly urbanised,2020
50007,0.06,0.23,2.62,22.0,83.0,16.0,"Leisure, sports",Population: 12 years or older,Walking,Value,Strongly urbanised,2021
50008,0.08,0.22,2.49,28.0,79.0,15.2,"Leisure, sports",Population: 12 years or older,Walking,Value,Strongly urbanised,2022
50009,0.07,0.19,2.29,27.0,71.0,13.9,"Leisure, sports",Population: 12 years or older,Walking,Value,Strongly urbanised,2023
50010,0.07,0.19,2.14,24.0,70.0,13.0,"Leisure, sports",Population: 12 years or older,Walking,Value,Moderately urbanised,2018
50011,0.06,0.17,2.03,22.0,63.0,12.3,"Leisure, sports",Population: 12 years or older,Walking,Value,Moderately urbanised,2019
50012,0.05,0.19,1.92,19.0,70.0,11.7,"Leisure, sports",Population: 12 years or older,Walking,Value,Moderately urbanised,2020
50013,0.06,0.22,2.32,20.0,81.0,14.1,"Leisure, sports",Population: 12 years or older,Walking,Value,Moderately urbanised,2021
50014,0.07,0.21,2.52,25.0,76.0,15.3,"Leisure, sports",Population: 12 years or older,Walking,Value,Moderately urbanised,2022
50015,0.06,0.18,1.95,24.0,65.0,11.9,"Leisure, sports",Population: 12 years or older,Walking,Value,Moderately urbanised,2023
50016,0.06,0.15,1.62,21.0,55.0,9.8,"Leisure, sports",Population: 12 years or older,Walking,Value,Hardly urbanised,2018
50017,0.06,0.13,1.38,20.0,48.0,8.4,"Leisure, sports",Population: 12 years or older,Walking,Value,Hardly urbanised,2019
50018,0.05,0.19,1.97,19.0,70.0,12.0,"Leisure, sports",Population: 12 years or older,Walking,Value,Hardly urbanised,2020
50019,0.05,0.19,2.15,19.0,71.0,13.1,"Leisure, sports",Population: 12 years or older,Walking,Value,Hardly urbanised,2021
50020,0.07,0.19,2.08,25.0,69.0,12.7,"Leisure, sports",Population: 12 years or older,Walking,Value,Hardly urbanised,2022
50021,0.06,0.16,1.86,23.0,60.0,11.3,"Leisure, sports",Population: 12 years or older,Walking,Value,Hardly urbanised,2023
50022,0.05,0.14,1.53,19.0,53.0,9.3,"Leisure, sports",Population: 12 years or older,Walking,Value,Not urbanised,2018
50023,0.05,0.12,1.31,19.0,42.0,8.0,"Leisure, sports",Population: 12 years or older,Walking,Value,Not urbanised,2019
50024,0.05,0.22,1.95,17.0,80.0,11.9,"Leisure, sports",Population: 12 years or older,Walking,Value,Not urbanised,2020
50025,0.07,0.21,2.7,25.0,76.0,16.4,"Leisure, sports",Population: 12 years or older,Walking,Value,Not urbanised,2021
50026,0.07,0.16,1.77,24.0,59.0,10.7,"Leisure, sports",Population: 12 years or older,Walking,Value,Not urbanised,2022
50027,0.06,0.16,1.67,23.0,57.0,10.1,"Leisure, sports",Population: 12 years or older,Walking,Value,Not urbanised,2023
50292,0.01,0.27,0.54,5.0,97.0,3.3,"Leisure, sports",Population: 12 years or older,Other,Value,The Netherlands,2018
50293,0.01,0.29,0.53,4.0,105.0,3.2,"Leisure, sports",Population: 12 years or older,Other,Value,The Netherlands,2019
50294,0.01,0.16,0.39,3.0,60.0,2.4,"Leisure, sports",Population: 12 years or older,Other,Value,The Netherlands,2020
50295,0.01,0.17,0.51,4.0,63.0,3.1,"Leisure, sports",Population: 12 years or older,Other,Value,The Netherlands,2021
50296,0.01,0.24,0.52,5.0,88.0,3.2,"Leisure, sports",Population: 12 years or older,Other,Value,The Netherlands,2022
50297,0.01,0.22,0.43,4.0,80.0,2.6,"Leisure, sports",Population: 12 years or older,Other,Value,The Netherlands,2023
50304,0.01,0.29,0.58,4.0,106.0,3.5,"Leisure, sports",Population: 12 years or older,Other,Value,Oost-Nederland (LD),2018
50308,0.01,0.36,0.62,5.0,132.0,3.8,"Leisure, sports",Population: 12 years or older,Other,Value,Oost-Nederland (LD),2022
50309,0.01,0.24,0.4,4.0,88.0,2.4,"Leisure, sports",Population: 12 years or older,Other,Value,Oost-Nederland (LD),2023
50310,0.01,0.25,0.59,5.0,93.0,3.6,"Leisure, sports",Population: 12 years or older,Other,Value,West-Nederland (LD),2018
50311,0.01,0.33,0.64,5.0,121.0,3.9,"Leisure, sports",Population: 12 years or older,Other,Value,West-Nederland (LD),2019
50312,0.01,0.2,0.45,4.0,74.0,2.8,"Leisure, sports",Population: 12 years or older,Other,Value,West-Nederland (LD),2020
50313,0.01,0.18,0.56,5.0,65.0,3.4,"Leisure, sports",Population: 12 years or older,Other,Value,West-Nederland (LD),2021
50314,0.01,0.18,0.46,5.0,66.0,2.8,"Leisure, sports",Population: 12 years or older,Other,Value,West-Nederland (LD),2022
50315,0.01,0.21,0.46,4.0,77.0,2.8,"Leisure, sports",Population: 12 years or older,Other,Value,West-Nederland (LD),2023
50367,0.01,0.15,0.6,5.0,57.0,3.6,"Leisure, sports",Population: 12 years or older,Other,Value,Noord-Holland (PV),2021
50368,0.02,0.17,0.48,6.0,62.0,2.9,"Leisure, sports",Population: 12 years or older,Other,Value,Noord-Holland (PV),2022
50374,0.01,0.19,0.45,5.0,68.0,2.7,"Leisure, sports",Population: 12 years or older,Other,Value,Zuid-Holland (PV),2022
50375,0.01,0.14,0.41,4.0,51.0,2.5,"Leisure, sports",Population: 12 years or older,Other,Value,Zuid-Holland (PV),2023
50397,0.01,0.2,0.57,5.0,73.0,3.4,"Leisure, sports",Population: 12 years or older,Other,Value,Extremely urbanised,2021
50399,0.01,0.17,0.51,4.0,62.0,3.1,"Leisure, sports",Population: 12 years or older,Other,Value,Extremely urbanised,2023
50400,0.01,0.32,0.58,5.0,117.0,3.5,"Leisure, sports",Population: 12 years or older,Other,Value,Strongly urbanised,2018
50401,0.01,0.36,0.53,4.0,132.0,3.2,"Leisure, sports",Population: 12 years or older,Other,Value,Strongly urbanised,2019
50403,0.01,0.13,0.4,4.0,46.0,2.4,"Leisure, sports",Population: 12 years or older,Other,Value,Strongly urbanised,2021
50405,0.01,0.24,0.44,4.0,86.0,2.7,"Leisure, sports",Population: 12 years or older,Other,Value,Strongly urbanised,2023
50406,0.01,0.19,0.41,5.0,69.0,2.5,"Leisure, sports",Population: 12 years or older,Other,Value,Moderately urbanised,2018
50412,0.01,0.36,0.6,5.0,132.0,3.6,"Leisure, sports",Population: 12 years or older,Other,Value,Hardly urbanised,2018
50416,0.01,0.38,0.65,5.0,138.0,4.0,"Leisure, sports",Population: 12 years or older,Other,Value,Hardly urbanised,2022
50688,0.17,1.64,11.61,64.0,600.0,70.6,Touring/walking,Population 6 years or older,Total,Value,The Netherlands,2018
50689,0.17,1.62,11.81,62.0,593.0,71.9,Touring/walking,Population 6 years or older,Total,Value,The Netherlands,2019
50690,0.27,2.07,16.24,99.0,759.0,99.1,Touring/walking,Population 6 years or older,Total,Value,The Netherlands,2020
50691,0.32,2.51,19.69,116.0,917.0,119.8,Touring/walking,Population 6 years or older,Total,Value,The Netherlands,2021
50692,0.28,2.05,16.58,102.0,749.0,100.9,Touring/walking,Population 6 years or older,Total,Value,The Netherlands,2022
50693,0.26,1.83,15.09,94.0,670.0,91.8,Touring/walking,Population 6 years or older,Total,Value,The Netherlands,2023
50694,0.19,2.03,12.5,69.0,741.0,76.1,Touring/walking,Population 6 years or older,Total,Value,Noord-Nederland (LD),2018
50695,0.2,2.04,13.16,74.0,744.0,80.0,Touring/walking,Population 6 years or older,Total,Value,Noord-Nederland (LD),2019
50696,0.28,2.54,16.71,102.0,930.0,101.9,Touring/walking,Population 6 years or older,Total,Value,Noord-Nederland (LD),2020
50697,0.33,3.04,19.96,122.0,1109.0,121.4,Touring/walking,Population 6 years or older,Total,Value,Noord-Nederland (LD),2021
50698,0.3,2.44,17.67,110.0,891.0,107.5,Touring/walking,Population 6 years or older,Total,Value,Noord-Nederland (LD),2022
50699,0.28,2.0,15.89,103.0,729.0,96.7,Touring/walking,Population 6 years or older,Total,Value,Noord-Nederland (LD),2023
50700,0.18,1.59,11.55,67.0,579.0,70.3,Touring/walking,Population 6 years or older,Total,Value,Oost-Nederland (LD),2018
50701,0.17,1.72,11.52,64.0,626.0,70.1,Touring/walking,Population 6 years or older,Total,Value,Oost-Nederland (LD),2019
50702,0.28,2.08,15.75,104.0,761.0,96.1,Touring/walking,Population 6 years or older,Total,Value,Oost-Nederland (LD),2020
50703,0.33,2.76,19.29,120.0,1008.0,117.4,Touring/walking,Population 6 years or older,Total,Value,Oost-Nederland (LD),2021
50704,0.3,2.02,16.3,111.0,736.0,99.1,Touring/walking,Population 6 years or older,Total,Value,Oost-Nederland (LD),2022
50705,0.28,2.05,15.05,104.0,748.0,91.6,Touring/walking,Population 6 years or older,Total,Value,Oost-Nederland (LD),2023
50706,0.16,1.54,10.98,58.0,562.0,66.8,Touring/walking,Population 6 years or older,Total,Value,West-Nederland (LD),2018
50707,0.16,1.46,11.18,57.0,533.0,68.0,Touring/walking,Population 6 years or older,Total,Value,West-Nederland (LD),2019
50708,0.25,1.94,15.77,91.0,709.0,96.2,Touring/walking,Population 6 years or older,Total,Value,West-Nederland (LD),2020
50709,0.3,2.29,19.29,109.0,836.0,117.3,Touring/walking,Population 6 years or older,Total,Value,West-Nederland (LD),2021
50710,0.26,1.85,15.85,94.0,674.0,96.4,Touring/walking,Population 6 years or older,Total,Value,West-Nederland (LD),2022
50711,0.23,1.7,14.5,84.0,622.0,88.2,Touring/walking,Population 6 years or older,Total,Value,West-Nederland (LD),2023
50712,0.19,1.75,12.67,70.0,640.0,77.1,Touring/walking,Population 6 years or older,Total,Value,Zuid-Nederland (LD),2018
50713,0.19,1.71,12.9,68.0,623.0,78.5,Touring/walking,Population 6 years or older,Total,Value,Zuid-Nederland (LD),2019
50714,0.3,2.15,17.57,109.0,787.0,107.2,Touring/walking,Population 6 years or older,Total,Value,Zuid-Nederland (LD),2020
50715,0.35,2.52,20.84,126.0,920.0,126.8,Touring/walking,Population 6 years or older,Total,Value,Zuid-Nederland (LD),2021
50716,0.3,2.37,18.0,110.0,865.0,109.5,Touring/walking,Population 6 years or older,Total,Value,Zuid-Nederland (LD),2022
50717,0.28,1.84,16.06,103.0,672.0,97.7,Touring/walking,Population 6 years or older,Total,Value,Zuid-Nederland (LD),2023
50718,0.17,1.85,11.33,62.0,674.0,68.9,Touring/walking,Population 6 years or older,Total,Value,Groningen (PV),2018
50719,0.19,1.7,11.68,69.0,621.0,71.0,Touring/walking,Population 6 years or older,Total,Value,Groningen (PV),2019
50720,0.25,2.74,17.2,91.0,1005.0,104.9,Touring/walking,Population 6 years or older,Total,Value,Groningen (PV),2020
50721,0.31,2.81,19.52,115.0,1026.0,118.7,Touring/walking,Population 6 years or older,Total,Value,Groningen (PV),2021
50722,0.28,2.36,15.84,101.0,860.0,96.4,Touring/walking,Population 6 years or older,Total,Value,Groningen (PV),2022
50723,0.26,1.82,15.06,95.0,664.0,91.6,Touring/walking,Population 6 years or older,Total,Value,Groningen (PV),2023
50724,0.21,2.48,15.13,77.0,904.0,92.0,Touring/walking,Population 6 years or older,Total,Value,Fryslân (PV),2018
50725,0.19,2.25,12.97,71.0,823.0,78.9,Touring/walking,Population 6 years or older,Total,Value,Fryslân (PV),2019
50726,0.3,2.62,17.02,110.0,959.0,103.8,Touring/walking,Population 6 years or older,Total,Value,Fryslân (PV),2020
50727,0.33,3.22,19.41,121.0,1175.0,118.1,Touring/walking,Population 6 years or older,Total,Value,Fryslân (PV),2021
50728,0.3,2.57,18.62,109.0,938.0,113.2,Touring/walking,Population 6 years or older,Total,Value,Fryslân (PV),2022
50729,0.29,2.0,16.46,104.0,731.0,100.1,Touring/walking,Population 6 years or older,Total,Value,Fryslân (PV),2023
50730,0.18,1.66,10.44,65.0,607.0,63.5,Touring/walking,Population 6 years or older,Total,Value,Drenthe (PV),2018
50731,0.23,2.15,15.16,84.0,786.0,92.2,Touring/walking,Population 6 years or older,Total,Value,Drenthe (PV),2019
50732,0.28,2.19,15.71,103.0,803.0,95.9,Touring/walking,Population 6 years or older,Total,Value,Drenthe (PV),2020
50733,0.36,3.07,21.2,131.0,1120.0,129.0,Touring/walking,Population 6 years or older,Total,Value,Drenthe (PV),2021
50734,0.34,2.37,18.61,123.0,866.0,113.2,Touring/walking,Population 6 years or older,Total,Value,Drenthe (PV),2022
50735,0.3,2.2,16.13,109.0,803.0,98.1,Touring/walking,Population 6 years or older,Total,Value,Drenthe (PV),2023
50736,0.19,1.49,11.06,69.0,543.0,67.3,Touring/walking,Population 6 years or older,Total,Value,Overijssel (PV),2018
50737,0.19,2.05,12.06,68.0,750.0,73.4,Touring/walking,Population 6 years or older,Total,Value,Overijssel (PV),2019
50738,0.29,2.48,16.59,106.0,909.0,101.2,Touring/walking,Population 6 years or older,Total,Value,Overijssel (PV),2020
50739,0.31,2.84,19.38,115.0,1036.0,117.9,Touring/walking,Population 6 years or older,Total,Value,Overijssel (PV),2021
50740,0.31,2.22,16.94,114.0,812.0,103.1,Touring/walking,Population 6 years or older,Total,Value,Overijssel (PV),2022
50741,0.28,2.18,15.33,104.0,795.0,93.2,Touring/walking,Population 6 years or older,Total,Value,Overijssel (PV),2023
50742,0.15,2.25,11.76,56.0,823.0,71.5,Touring/walking,Population 6 years or older,Total,Value,Flevoland (PV),2018
50743,0.16,1.48,9.71,58.0,539.0,59.1,Touring/walking,Population 6 years or older,Total,Value,Flevoland (PV),2019
50744,0.22,1.41,12.14,82.0,515.0,74.0,Touring/walking,Population 6 years or older,Total,Value,Flevoland (PV),2020
50745,0.29,2.45,16.99,107.0,896.0,103.4,Touring/walking,Population 6 years or older,Total,Value,Flevoland (PV),2021
50746,0.28,1.84,15.06,102.0,670.0,91.6,Touring/walking,Population 6 years or older,Total,Value,Flevoland (PV),2022
50747,0.26,2.5,15.24,95.0,913.0,92.7,Touring/walking,Population 6 years or older,Total,Value,Flevoland (PV),2023
50748,0.19,1.51,11.78,68.0,550.0,71.7,Touring/walking,Population 6 years or older,Total,Value,Gelderland (PV),2018
50749,0.17,1.57,11.58,62.0,574.0,70.4,Touring/walking,Population 6 years or older,Total,Value,Gelderland (PV),2019
50750,0.29,1.99,16.01,108.0,728.0,97.6,Touring/walking,Population 6 years or older,Total,Value,Gelderland (PV),2020
50751,0.34,2.78,19.71,126.0,1015.0,119.9,Touring/walking,Population 6 years or older,Total,Value,Gelderland (PV),2021
50752,0.3,1.94,16.19,111.0,708.0,98.5,Touring/walking,Population 6 years or older,Total,Value,Gelderland (PV),2022
50753,0.29,1.88,14.86,106.0,687.0,90.4,Touring/walking,Population 6 years or older,Total,Value,Gelderland (PV),2023
50754,0.15,1.59,10.05,56.0,582.0,61.1,Touring/walking,Population 6 years or older,Total,Value,Utrecht (PV),2018
50755,0.15,1.37,10.33,55.0,499.0,62.9,Touring/walking,Population 6 years or older,Total,Value,Utrecht (PV),2019
50756,0.27,2.11,15.75,97.0,773.0,96.1,Touring/walking,Population 6 years or older,Total,Value,Utrecht (PV),2020
50757,0.31,2.34,19.25,114.0,853.0,117.1,Touring/walking,Population 6 years or older,Total,Value,Utrecht (PV),2021
50758,0.27,1.9,15.42,99.0,695.0,93.8,Touring/walking,Population 6 years or older,Total,Value,Utrecht (PV),2022
50759,0.24,1.78,13.54,88.0,650.0,82.4,Touring/walking,Population 6 years or older,Total,Value,Utrecht (PV),2023
50760,0.16,1.51,11.23,57.0,550.0,68.3,Touring/walking,Population 6 years or older,Total,Value,Noord-Holland (PV),2018
50761,0.15,1.58,11.76,56.0,576.0,71.5,Touring/walking,Population 6 years or older,Total,Value,Noord-Holland (PV),2019
50762,0.24,1.81,15.63,89.0,662.0,95.3,Touring/walking,Population 6 years or older,Total,Value,Noord-Holland (PV),2020
50763,0.3,2.32,19.92,109.0,848.0,121.2,Touring/walking,Population 6 years or older,Total,Value,Noord-Holland (PV),2021
50764,0.26,1.72,16.25,93.0,629.0,98.8,Touring/walking,Population 6 years or older,Total,Value,Noord-Holland (PV),2022
50765,0.23,1.59,14.65,83.0,580.0,89.1,Touring/walking,Population 6 years or older,Total,Value,Noord-Holland (PV),2023
50766,0.16,1.51,10.94,59.0,551.0,66.5,Touring/walking,Population 6 years or older,Total,Value,Zuid-Holland (PV),2018
50767,0.15,1.35,10.8,57.0,493.0,65.7,Touring/walking,Population 6 years or older,Total,Value,Zuid-Holland (PV),2019
50768,0.24,1.92,15.62,88.0,703.0,95.3,Touring/walking,Population 6 years or older,Total,Value,Zuid-Holland (PV),2020
50769,0.29,2.21,18.67,107.0,808.0,113.6,Touring/walking,Population 6 years or older,Total,Value,Zuid-Holland (PV),2021
50770,0.24,1.79,14.95,88.0,654.0,90.9,Touring/walking,Population 6 years or older,Total,Value,Zuid-Holland (PV),2022
50771,0.22,1.72,14.36,82.0,627.0,87.4,Touring/walking,Population 6 years or older,Total,Value,Zuid-Holland (PV),2023
50772,0.19,1.9,12.63,69.0,693.0,76.8,Touring/walking,Population 6 years or older,Total,Value,Zeeland (PV),2018
50773,0.2,1.93,13.52,72.0,705.0,82.3,Touring/walking,Population 6 years or older,Total,Value,Zeeland (PV),2019
50774,0.33,2.46,18.4,119.0,899.0,112.3,Touring/walking,Population 6 years or older,Total,Value,Zeeland (PV),2020
50775,0.33,2.64,20.71,120.0,962.0,126.0,Touring/walking,Population 6 years or older,Total,Value,Zeeland (PV),2021
50776,0.36,3.12,22.99,131.0,1138.0,139.8,Touring/walking,Population 6 years or older,Total,Value,Zeeland (PV),2022
50777,0.27,2.17,18.13,100.0,791.0,110.3,Touring/walking,Population 6 years or older,Total,Value,Zeeland (PV),2023
